Keyword,Course URL,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ค่ามัธยฐานเงินเดือน,อัตราการได้งานทำ,สาขาวิชา
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31970615300501A,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,Information and Communication Engineering,ภาษาไทย ปกติ,ตรัง,"110,000",,,รับ10คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,รับ20คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31990103300501A,วศ.บ.วิศวกรรมคอมพิวเตอร์,Programin Computer Engineering,ภาษาไทย ปกติ,นครราชสีมา,"อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 152,000 บาท ตลอดหลักสูตร",อัตราการจบการศึกษา ร้อยละ 33.33 ของนักศึกษาปีการศึกษา 2566,,รับ10คน,รับ4คน,รับ2คน,ไม่เปิดรับสมัครในรอบนี้,"23,113.59 บาท",ร้อยละ 76.92 ของผู้จบการศึกษา,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/40540111300501A,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Sc. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,,,,รับ10คน,รับ10คน,รับ20คน,รับ20คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/40560107300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),B.Eng. (Computer Engineering and Artificial Intelligence),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร",,,รับ60คน,ไม่เปิดรับสมัครในรอบนี้,รับ60คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/40610130300501A?major=A,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,_,,,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ50คน,ไม่เปิดรับสมัครในรอบนี้,,,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/40680111300501A,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าเล่าเรียนตลอดหลักสูตร 396,800",75%,,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,25000,100%,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/41030102300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,ค่าเล่าเรียนตลอดหลักสูตร 337000 บาท,อัตราการจบการศึกษา ร้อยละ 94.44 ของนักศึกษาปีการศึกษา 2566,,รับ30คน,รับ30คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/41800204300501A,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตร่มเกล้า,"282,000 บาท ตลอดหลักสูตร",,,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ40คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/41810101300501A,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 303,500 บาท",-,,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,รับ20คน,ไม่เปิดรับสมัครในรอบนี้,"21,666.67 บาท",ร้อยละ 100 ของผู้จบการศึกษา,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/49180101303701A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,แจ้งวัฒนะ นนทบุรี,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",ร้อยละ 97 ของนักศึกษาปีการศึกษา 2566,,รับ40คน,รับ15คน,รับ15คน,ไม่เปิดรับสมัครในรอบนี้,"25,520 บาท",ร้อยละ 96 ของผู้จบการศึกษา,
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10100101300502A,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,Bachelor of Engineering Program in Artificial Intelligence Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",,,รับ210คน,รับ5คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10100329303701A,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Bachelor of Engineering Programe in Artificial Intelligence and System Engineering,ภาษาไทย ปกติ,ภูเก็ต,"อัตราค่าเล่าเรียน 38,000 บาทต่อภาคการศึกษา (เรียน 6 ภาคการศึกษา) หรือตลอดหลักสูตร 228,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",,,รับ315คน,รับ120คน,รับ40คน,รับ20คน,,,
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10140136303701A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบอัจฉริยะ ปริญญาตรี 4 ปี (พื้นที่การศึกษาราชบุรี),Bachelor of Engineering Program in Intelligence Systems Engineering 4-year undergraduate program (Rajaburi educational region),ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,,,,รับ205คน,รับ60คน,รับ50คน,,,วิศวกรรมระบบอัจฉริยะ - วศ.บ 4 ปี (พื้นที่การศึกษาราชบุรี)
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10160101303701I,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),B.Eng. Ai Engineering and Entrepreneurship (International Program) Joint Degree between KMITL and Bangkok University,Joint Degree - นานาชาติ,ลาดกระบัง,"175,000 ต่อภาคการศึกษา",ไม่ระบุ,,รับ125คน,รับ75คน,รับ10คน,รับ80คน,ไม่ระบุ,ไม่ระบุ,
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/10180113303703A,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,Bachelor of Engineering Program in Artificial Intelligence and Prompt Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน  28,000 ต่อภาคการศึกษา หรือ 224,000 ตลอดหลักสูตร",,,ไม่เปิดรับสมัครในรอบนี้,รับ40คน,รับ40คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/31970104300502A,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",,,รับ2คน,รับ2คน,รับ1คน,รับ1คน,,,
วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/programs/49180101303701A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,แจ้งวัฒนะ นนทบุรี,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",ร้อยละ 97 ของนักศึกษาปีการศึกษา 2566,,รับ40คน,รับ15คน,รับ15คน,ไม่เปิดรับสมัครในรอบนี้,"25,520 บาท",ร้อยละ 96 ของผู้จบการศึกษา,
